"# Table 1. Information about the populations and samples of Physaria globosa included in the study, including voucher number, collection locality, ecoregion, GPS coordinates, and number of samples collected per site."
"# Column definitions: Population code=population identifier used in the study; Collector=voucher or collector information; Species name=taxon name for the sampled population; State, County, Locality (Element Occurrence number)=collection locality description; Ecoregion=ecoregion or management category; Lat=latitude in decimal degrees; Long=longitude in decimal degrees; Number of samples=number of sampled individuals included from the site"
# Note: * Samples collected as part of a previous study on Physaria filiformis (Edwards et al. 2021).

Population code,Collector,Species name,"State, County, Locality (Element Occurrence number)",Ecoregion,Lat,Long,Number of samples
Pgl346_IN,Edwards and Linan 346 (MO),P.  globosa,"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88.00,24
Pgl347_KY,"Edwards, Linan and Littlefield 347 (MO)",P. globosa,"KY, Franklin, EO 18, Cove Spring, Area North of parking lot on 127, just north of its intersection with 421 (EO18)",Bluegrass,38.22,-84.85,11
Pgl348_EXS,"Edwards, Linan and Littlefield 348 (MO)",P.  globosa,"KY, Franklin, Cove Spring reintroduction (EO30),  source: KY EOs18 and 28",Ex situ,38.22,-84.84,24
Pgl349_KY,"Edwards, Linan and Littlefield 349 (MO)",P. globosa,"KY, Franklin, Near intersection of Camp Pleasant Rd. and Gregory Woods Rd. (EO23a)",Bluegrass,38.31,-84.80,24
Pgl350_KY,"Edwards, Linan and Littlefield 350 (MO)",P. globosa,"KY, Franklin, Bald Knob (EO07)",Bluegrass,38.20,-84.88,23
Pgl351_KY,"Edwards, Linan and Littlefield 351 (MO)",P. globosa,"KY, Franklin, Ninevah Rd. (EO 04)",Bluegrass,38.11,-84.87,24
Pgl352_KY,"Edwards, Linan and Littlefield (MO)",P. globosa,"KY, Woodford, off Delaney Ferry Rd (Murphy property, EO28)",Bluegrass/ partially cultivated,37.97,-84.69,24
Pgl353_EXS,"Edwards, Linan and Littlefield (MO)",P.  globosa,"KY, Jessamine Creek Gorge Preserve source: Julian Campbell’s yard (see 355)",Ex situ,37.83,-84.64,24
Pgl354_KY,"Edwards, Linan and Littlefield (MO)",P. globosa,"KY, Madison, Valley View (EO10a)",Bluegrass,37.84,-84.42,11
Pgl355_EXS,"Edwards, Linan and Littlefield (MO)",P.  globosa,"KY—Julian Campbell's yard in Lexington KY source: IN, KY (Jessamine county), TN (Davidson Co)",Ex situ,37.98,-84.49189,26
Pgl356_TNE,"Edwards, Albrecht, and Elam",P. globosa,"TN, Smith, North of Cordell Hull Dam, Bluffs over Cumberland river (EO24)",Nashville Basin,36.3058,-85.9404,24
Pgl357_TNE,"Edwards, Albrecht, and Elam (MO)",P. globosa,"TN, Troutsdale, East of Hartsville Boat Ramp (EO03)",Nashville Basin,36.3736,-86.172,24
Pgl358_TNW,"Edwards, Linan and Dell (MO)",P. globosa,"TN, Davidson, McMinn’s bluff #1 (EO04)",Highland Rim,36.208363,-86.980126,24
Pgl359_TNW,"Edwards, Linan and Dell (MO)",P. globosa,"TN, Davidson/Cheatham, McMinn’s bluff #3 (EO10)",Highland Rim,36.213167,-86.961927,24
Pgl360_TNW,"Edwards, Linan and Dell (MO)",P. globosa,"TN, Cheatham, Lock B Rd. near Recycle Center/train tracks (EO01)",Highland Rim,36.242107,-87.042081,24
Pgl361_TNW,"Edwards, Linan and Dell",P.  globosa,"TN, Montgomery, Jarrell Ridge Road (EO28)",Highland Rim,36.39425,-87.262326,9
Pgl362_TNW,"Edwards, Linan and Dell",P.  globosa,"TN, Montgomery, King and Queen's Bluff (EO 12)",Highland Rim,"36.501393, -",-87.318045,14
PoAR01*,Yatskievych 15-003 (MO),“P.  ouachitensis”,Garland county AR; Cedar Fourche Recreation Area,Ouachita mountains,34.666,-93.283472,5
PoAR02*,Yatskievych 15-009 (MO),“P. ouachitensis”,Garland county AR; North side of Lake Ouachita,Ouachita mountains,34.663528,-93.268444,9
PoAR03*,Yatskievych 15-012 (MO),“P. ouachitensis”,"Hos Spring county, AR; Ross Foundation Property",Ouachita mountains,34.350361,-93.067444,4
PfMO6*,Rimer s.n. (MO),P. filiformis,"Greene County, MO; Seepside Glade",Ozark Plateau,37.296224,-93.406067,4
PfMO10*,Edwards 281,P. filiformis,"Greene County, MO; Wilsons Creek - Wire Road",Ozark Plateau,37.092,-93.415,6
PfMO11*,Edwards 282,P. filiformis,"Greene County, MO; Wilsons Creek - Bloody Hill",Ozark Plateau,37.1044,-93.41138,7
PgrTX1*,Yatskievych 16-110 (TEX),P. gracilis,"Williamson county, TX; near San Gabriel River",Coastal Plains,30.656944,-97.415278,11
