# Table 3. Table of genetic diversity metrics for populations of Physaria globosa and related species.
# Column definitions: Population=population or species grouping; Geographic area=abbreviated sampling region; n=number of individuals; A=average alleles per locus; AR=allelic richness; AP=private alleles per population; Ho=observed heterozygosity; He=expected heterozygosity; F=fixation index; % null=percentage of null alleles; FB=fixation index adjusted for null alleles
"# Note: Region codes: IN=Indiana, MO=Missouri, KY=Kentucky, TNE=eastern Tennessee / Nashville Basin, TNW=western Tennessee / Highland Rim, EX-S=ex situ populations."
# Note: * Indicates populations reported in the manuscript as having experienced significant genetic bottlenecks.

Population,Wen_label,Geographic area,n,A,AR,AP,Ho,He,F,% null,FB
P. globosa,,,,,,,,,,,
Pgl346_IN,IN_01,IN,24,3.28,2.82,2,0.4,0.45,0.08,0.16,0
Pgl347_KY,KY_02,KY,10,4,3.74,1,0.5,0.51,0.05,0.18,0
Pgl348_EXS,EX_01,EX-S,24,4.72,3.73,1,0.48,0.53,0.08,0.46,0.06
Pgl349_KY,KY_01,KY,22,4.11,3.43,7,0.55,0.56,0,0.22,0
Pgl350_KY,KY_03,KY,20,5.33,4.1,4,0.56,0.6,0.07,0.3,0
Pgl351_KY,KY_04,KY,24,6.5,4.52,12,0.6,0.62,0.03,0.26,0
Pgl352_KY,KY_05,KY,24,3.94,3.32,1,0.51,0.53,0.03,0.18,0.05
Pgl353_EXS,EX_02,EX-S,24,4.39,3.54,1,0.55,0.62,0.09,0.18,0.07
Pgl354_KY,KY_06,KY,11,4.06,3.7,4,0.53,0.55,0.06,0.28,0
Pgl355_EXS,EX_03,EX-S,24,5.11,3.64,3,0.44,0.53,0.21,0.41,0.05
Pgl356_TNE,TNE_02,TNE,24,4.17,3.23,9,0.41,0.43,0.02,0.33,0
Pgl357_TNE,TNE_01,TNE,23,3.22,2.64,10,0.38,0.41,0.11,0.15,0
Pgl358_TNW,TNW_04,TNW,24,4.72,3.62,6,0.4,0.5,0.16,0.33,0.15
Pgl359_TNW,TNW_05,TNW,24,5.44,3.87,6,0.48,0.55,0.11,0.36,0.07
Pgl360_TNW,TNW_03,TNW,24,3.28,2.69,3,0.37,0.44,0.23,0.47,0.11
Pgl361_TNW,TNW_02,TNW,9,2.78,2.69,1,0.48,0.46,-0.04,0.17,0
Pgl362_TNW,TNW_01,TNW,14,2.28,2.14,1,0.32,0.32,0.03,0.08,0.14
Average across P. globosa,,,,4.2,3.38,4.24,0.47,0.51,0.08,0.26,0.04
P. ouachitensis,,,,,,,,,,,
PoAR1,AR_01,AR,5,1.79,7.14,3,0.17,0.27,0.37,0.45,0
PoAR2,AR_02,AR,9,2.4,5.52,2,0.16,0.3,0.46,0.53,0.38
PoAR3,AR_03,AR,4,1.85,6.37,2,0.15,0.4,0.61,0.57,0
Average across P. ouachitensis,,,,2.01,6.34,2.33,0.16,0.32,0.48,0.52,0.13
P. filiformis,,,,,,,,,,,
PfMO6,MO_06,MO,4,2.53,5.95,4,0.45,0.49,0.08,0.24,0
PfMO10,MO_10,MO,6,3.18,4.38,8,0.42,0.61,0.32,0.54,0
PfMO11,MO_11,MO,7,2.81,4.25,5,0.35,0.48,0.29,0.42,0
Average across P. filiformis,,,,2.84,4.86,5.67,0.4,0.53,0.23,0.4,0
P. gracilis,,,,,,,,,,,
PgrTX1,TX_01,TX,11,5,8.42,42,0.534,0.711,0.249,0.77,0
