sample_order,sample_id_structure_raw,sample_pg_all_raw,sample_id_consistent,sample_pg_clean,individual_name_is_consistent,sample_index_within_population,population,voucher_code_clean,structure_population_index,site_pg_all_raw,site_pg_all_clean,site_matches_population,pg_all_site_issue,pg_all_header_site_label_raw,pg_all_header_site_label_clean,pg_all_header_matches_population,pg_all_header_issue,canonical_population_code,table1_population_code_raw,table1_population_code,table3_population_raw,species,state_region,geographic_area,figure_group_state,collector,locality,ecoregion,lat_table1,long_table1,lat_pglo_coordinates,long_pglo_coordinates,lat_workbook,long_workbook,n_samples_table1,n_samples_table3,state_from_pca_dapc,state_from_structure_plot,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,population_name_inconsistency,individual_name_notes
1,883779813_Pg346_01.fsa,Pg346_01,Pg346_01,Pg346_01,TRUE,1,Pg346,346,1,p346,346,TRUE,Site code used a p-prefix and was normalized,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.00219999999999999,0.196,0.0026,0.1976,0.0042,0.1956,0.0028,0.001,0.0046,0.001,0.392,NA,Site code used a p-prefix and was normalized
2,883779813_Pg346_02.fsa,Pg346_02,Pg346_02,Pg346_02,TRUE,2,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0048,0.1942,0.0024,0.1936,0.0066,0.2008,0.0096,0.001,0.00279999999999999,0.0018,0.3827999999999999,NA,NA
3,883779813_Pg346_03.fsa,Pg346_03,Pg346_03,Pg346_03,TRUE,3,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0014,0.1974,0.001,0.199,0.0012,0.1986,0.0014,0.001,0.002,0.0012,0.3952,NA,NA
4,883779813_Pg346_04.fsa,Pg346_04,Pg346_04,Pg346_04,TRUE,4,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.001,0.198,0.0014,0.1988,0.0016,0.1982,0.001,0.001,0.0022,0.001,0.3952,NA,NA
5,883779813_Pg346_05.fsa,Pg346_05,Pg346_05,Pg346_05,TRUE,5,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0024,0.1936,0.0048,0.20299999999999993,0.0014,0.1916,0.0014,0.001,0.0052,0.0014,0.393,NA,NA
6,883779813_Pg346_06.fsa,Pg346_06,Pg346_06,Pg346_06,TRUE,6,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0028,0.1924,0.0032,0.1986,0.0022,0.1832,0.001,0.0074,0.0036,0.001,0.405,NA,NA
7,883779813_Pg346_07.fsa,Pg346_07,Pg346_07,Pg346_07,TRUE,7,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.007,0.1952,0.00439999999999999,0.20599999999999996,0.0058,0.181,0.0012,0.001,0.00599999999999999,0.001,0.39059999999999995,NA,NA
8,883779813_Pg346_08.fsa,Pg346_08,Pg346_08,Pg346_08,TRUE,8,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0024,0.1976,0.0026,0.22679999999999997,0.0028,0.16699999999999998,0.001,0.001,0.004,0.001,0.3936,NA,NA
9,883779813_Pg346_09.fsa,Pg346_09,Pg346_09,Pg346_09,TRUE,9,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0028,0.1972,0.00399999999999999,0.1998,0.0024,0.1932,0.0012,0.001,0.00399999999999999,0.0012,0.39319999999999994,NA,NA
10,883779813_Pg346_10.fsa,Pg346_10,Pg346_10,Pg346_10,TRUE,10,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0014,0.1962,0.0016,0.2002,0.0026,0.1974,0.0014,0.001,0.0024,0.001,0.394,NA,NA
11,883779813_Pg346_11.fsa,Pg346_11,Pg346_11,Pg346_11,TRUE,11,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.0022,0.1944,0.0046,0.20439999999999997,0.0048,0.1968,0.0014,0.001,0.0034,0.0018,0.38459999999999994,NA,NA
12,883779813_Pg346_12.fsa,Pg346_12,Pg346_12,Pg346_12,TRUE,12,Pg346,346,1,346,346,TRUE,NA,346,346,TRUE,NA,Pgl346_IN,Pgl346_IN,Pgl346_IN,Pgl346_IN,P. globosa,IN,IN,IN,Edwards and Linan 346 (MO),"IN, Posey, Big Cypress Slough",Shawnee Hills,37.82,-88,37.82094897,-88.00325397,37.82094897,-88.00325397,24,24,IN,IN,0.00219999999999999,0.197,0.002,0.198,0.00219999999999999,0.1982,0.0018,0.001,0.00219999999999999,0.001,0.3942,NA,NA
