sample,site,population,population_label,species,state
Pg346_01,346,Pg346,IN_01,P. globosa,IN
Pg346_02,346,Pg346,IN_01,P. globosa,IN
Pg346_03,346,Pg346,IN_01,P. globosa,IN
Pg346_04,346,Pg346,IN_01,P. globosa,IN
Pg346_05,346,Pg346,IN_01,P. globosa,IN
Pg346_06,346,Pg346,IN_01,P. globosa,IN
Pg346_07,346,Pg346,IN_01,P. globosa,IN
Pg346_08,346,Pg346,IN_01,P. globosa,IN
Pg346_09,346,Pg346,IN_01,P. globosa,IN
Pg346_10,346,Pg346,IN_01,P. globosa,IN
Pg346_11,346,Pg346,IN_01,P. globosa,IN
Pg346_12,346,Pg346,IN_01,P. globosa,IN
Pg346_13,346,Pg346,IN_01,P. globosa,IN
Pg346_14,346,Pg346,IN_01,P. globosa,IN
Pg346_15,346,Pg346,IN_01,P. globosa,IN
Pg346_16,346,Pg346,IN_01,P. globosa,IN
Pg346_17,346,Pg346,IN_01,P. globosa,IN
Pg346_18,346,Pg346,IN_01,P. globosa,IN
Pg346_19,346,Pg346,IN_01,P. globosa,IN
Pg346_20,346,Pg346,IN_01,P. globosa,IN
Pg346_21,346,Pg346,IN_01,P. globosa,IN
Pg346_22,346,Pg346,IN_01,P. globosa,IN
Pg346_23,346,Pg346,IN_01,P. globosa,IN
Pg346_24,346,Pg346,IN_01,P. globosa,IN
Pg347_01,347,Pg347,KY_02,P. globosa,KY
Pg347_02,347,Pg347,KY_02,P. globosa,KY
Pg347_03,347,Pg347,KY_02,P. globosa,KY
Pg347_11,347,Pg347,KY_02,P. globosa,KY
Pg347_12,347,Pg347,KY_02,P. globosa,KY
Pg347_17,347,Pg347,KY_02,P. globosa,KY
Pg347_18,347,Pg347,KY_02,P. globosa,KY
Pg347_21,347,Pg347,KY_02,P. globosa,KY
Pg347_22,347,Pg347,KY_02,P. globosa,KY
Pg347_23,347,Pg347,KY_02,P. globosa,KY
Pg348_01,348,Pg348,EX_01,P. globosa,EX-S
Pg348_02,348,Pg348,EX_01,P. globosa,EX-S
Pg348_03,348,Pg348,EX_01,P. globosa,EX-S
Pg348_04,348,Pg348,EX_01,P. globosa,EX-S
Pg348_05,348,Pg348,EX_01,P. globosa,EX-S
Pg348_06,348,Pg348,EX_01,P. globosa,EX-S
Pg348_07,348,Pg348,EX_01,P. globosa,EX-S
Pg348_08,348,Pg348,EX_01,P. globosa,EX-S
