edge_index,parent_node,child_node,child_label,edge_length
1,25,47,NA,0
2,47,42,NA,0.23404044117647055
3,42,32,NA,0.47898528180803573
4,32,34,NA,0.14928327287946425
5,34,35,NA,0.15694476996527773
6,35,36,NA,0.12911933593750002
7,36,37,NA,0.07775390624999998
8,37,38,NA,0.06650195312500011
9,38,40,NA,0.10653004807692293
10,40,12,TNE_01,0.2616333333333334
11,40,17,TNW_01,0.3433666666666666
12,38,41,NA,0.15771995192307695
13,41,13,TNW_04,0.09248242187500003
14,41,14,TNW_05,0
15,37,10,EX_03,0.09487304687499994
16,36,39,NA,0.14830859375000008
17,39,11,TNE_02,0.17746428571428557
18,39,15,TNW_03,0.3225357142857144
19,35,16,TNW_02,0.22484941406249997
20,34,8,EX_02,0.07511773003472225
21,32,28,NA,0.07994482421874996
22,28,26,NA,0.016747070312500056
23,26,27,NA,0.014292968749999968
24,27,29,NA,0.021947753906249978
25,29,31,NA,0.07031152343750002
26,31,6,KY_04,0.060773437500000006
27,31,9,KY_06,0.1462265625
28,29,4,KY_01,0.2116884765625
29,27,1,IN_01,0.32580224609375
30,26,30,NA,0.07189453125
31,30,33,NA,0.13589257812499997
32,33,2,KY_02,0.0275791015625
33,33,3,EX_01,0.0014208984375
34,30,7,KY_05,0.12310742187500004
35,28,5,KY_03,0.18084277343749997
36,42,43,NA,0.9245845588235295
37,43,44,NA,0.013565789473683944
38,44,19,P. ouachitensis AR_02,0.02541249999999981
39,44,20,P. ouachitensis AR_03,0.31358750000000024
40,43,18,P. ouachitensis AR_01,0.049934210526316025
41,47,45,NA,0.8904097222222221
42,45,46,NA,0.2362023809523809
43,46,21,P. filiformis MO_10,0.003750000000000059
44,46,22,P. filiformis MO_11,0.19724999999999995
45,45,23,P. filiformis MO_06,0.5117976190476191
46,25,24,P. gracilis TX_011,0.748840277777778
