sample_id,population,population_label,state,sample_order,cluster_1,cluster_2
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.005,0.9949999999999999
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.009,0.991
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.003,0.9970000000000001
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.003,0.9970000000000001
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.002,0.998
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.018,0.982
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.002,0.998
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.002,0.998
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.002,0.998
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.0027999999999999995,0.9972
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.002,0.998
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.003,0.9970000000000001
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.004,0.9960000000000001
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.003,0.9970000000000001
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.002,0.998
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.002,0.998
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.003,0.9970000000000001
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.002,0.998
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.003,0.9970000000000001
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.005,0.9949999999999999
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.003,0.9970000000000001
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.002,0.998
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.002,0.998
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.0026000000000000003,0.9974000000000001
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.0027999999999999995,0.9972
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.002,0.998
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.0052,0.9948
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.005,0.9949999999999999
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.01,0.99
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.003,0.9970000000000001
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.0118,0.9882
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.0088,0.9912000000000001
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.003,0.9970000000000001
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.002,0.998
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.003,0.9970000000000001
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.005,0.9949999999999999
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.004,0.9960000000000001
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.004,0.9960000000000001
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.003,0.9970000000000001
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.002,0.998
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.002,0.998
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.002,0.998
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.002,0.998
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,0.002,0.998
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.002,0.998
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,0.002,0.998
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.002,0.998
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.002,0.998
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.0022,0.9978
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.003,0.9970000000000001
883779813_Pg348_17.fsa,Pg348,EX_01,EX-S,51,0.002,0.998
883779813_Pg348_18.fsa,Pg348,EX_01,EX-S,52,0.005200000000000001,0.9948
883779813_Pg348_19.fsa,Pg348,EX_01,EX-S,53,0.003,0.9970000000000001
883779813_Pg348_20.fsa,Pg348,EX_01,EX-S,54,0.003,0.9970000000000001
