sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.00679592244653208,0.0033979612232660408,0.9898061163302019
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.03261304521808724,0.0048019207683073235,0.9625850340136054
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.002799440111977604,0.0025994801039792045,0.9946010797840432
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.002,0.0022,0.9958
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.0020008003201280513,0.0020008003201280513,0.9959983993597439
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.0043991201759648055,0.034993001399720045,0.960607878424315
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.002,0.003,0.9949999999999999
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.0012007204322593559,0.0016009605763458077,0.9971983189913948
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.002,0.0022,0.9958
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.002,0.0034000000000000002,0.9945999999999999
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.001999600079984003,0.0025994801039792045,0.9954009198160367
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.003800760152030406,0.002400480096019204,0.9937987597519504
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.0036,0.0026000000000000003,0.9938
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.002999400119976005,0.003599280143971206,0.9934013197360528
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.001999200319872051,0.0037984806077568977,0.994202319072371
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.002,0.0022,0.9958
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.0036,0.0016,0.9948
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.002000400080016003,0.0022004400880176037,0.9957991598319664
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.002000400080016003,0.0032006401280256056,0.9947989597919584
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.0061987602479504095,0.004399120175964806,0.9894021195760847
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.001999200319872051,0.003998400639744102,0.9940023990403838
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.001999600079984003,0.006398720255948811,0.9916016796640671
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.001999200319872051,0.001999200319872051,0.996001599360256
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.002,0.0024000000000000002,0.9955999999999999
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.002,0.2004,0.7976
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.0016,0.1982,0.8001999999999999
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.002800560112022404,0.2046409281856371,0.7925585117023405
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.0066,0.1824,0.8109999999999999
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.004999000199960009,0.21335732853429312,0.7816436712657469
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.0027983210073955628,0.20007995202878273,0.7971217269638218
