sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.2030781531081351,0.005996402158704777,0.0019988007195682594,0.7889266440135919
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.2048409681936387,0.03520704140828165,0.0014002800560112022,0.7585517103420685
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.20235952809438112,0.0021995600879824036,0.0017996400719856032,0.7936412717456508
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.2009598080383923,0.001999600079984003,0.001999600079984003,0.7950409918016397
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.2013597280543891,0.001999600079984003,0.001199760047990402,0.7954409118176365
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.20035992801439712,0.0015996800639872027,0.03659268146370726,0.7614477104579084
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.2022786328203078,0.0019988007195682594,0.0011992804317409555,0.7945232860283831
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.19767907162865148,0.0010004001600640256,0.0014005602240896359,0.7999199679871949
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.2001599680063987,0.001999600079984003,0.0017996400719856032,0.7960407918416317
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.20179999999999998,0.002,0.002,0.7942
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.20199999999999996,0.002,0.0012000000000000001,0.7948000000000001
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.20255948810237948,0.003999200159968006,0.0015996800639872027,0.7918416316736653
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.20115976804639069,0.002999400119976005,0.002399520095980804,0.7934413117376524
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.20184036807361472,0.0028005601120224045,0.002000400080016003,0.7933586717343468
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.20139999999999994,0.0018000000000000002,0.0012000000000000001,0.7956
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.2007197121151539,0.001999200319872051,0.001999200319872051,0.795281887245102
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.1988397679535907,0.004400880176035207,0.0010002000400080016,0.795759151830366
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.19803960792158432,0.0022004400880176037,0.001200240048009602,0.7985597119423885
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.20451819272291083,0.002399040383846462,0.001999200319872051,0.7910835665733706
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.22371051579368248,0.00859656137544982,0.0021991203518592567,0.7654938024790083
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.20351859256297483,0.0017992802878848463,0.0027988804478208716,0.7918832467013195
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.21295740851829634,0.0017996400719856032,0.0017996400719856032,0.7834433113377326
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.2014402880576115,0.001200240048009602,0.0016003200640128026,0.7957591518303662
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.2012,0.002,0.0018000000000000002,0.7949999999999999
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.20084016803360671,0.0016003200640128026,0.0022004400880176037,0.7953590718143628
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.19943988797759551,0.0014002800560112022,0.002000400080016003,0.7971594318863773
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.20508203281312523,0.0030012004801920774,0.011604641856742698,0.7803121248499401
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.18116376724655064,0.0039992001599680055,0.008798240351929611,0.8060387922415516
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.20371851259496201,0.005797680927628948,0.01399440223910436,0.7764894042383046
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.19916016796640676,0.0019996000799840036,0.004399120175964807,0.7944411117776445
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.18460000000000001,0.0102,0.009600000000000001,0.7956
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.21391443422630946,0.004398240703718513,0.034186325469812075,0.74750099960016
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.18052778888444623,0.004798080767692924,0.001999200319872051,0.8126749300279887
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.1847630473905219,0.001999600079984003,0.001199760047990402,0.8120375924815038
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.20051979208316673,0.001999200319872051,0.002798880447820872,0.7946821271491403
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.5996800639872024,0.002399520095980804,0.0017996400719856032,0.396120775844831
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.5982803439312137,0.0021995600879824036,0.002399520095980804,0.397120575884823
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.20248099239695877,0.0024009603841536617,0.002601040416166467,0.7925170068027212
