sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.0012004801920768309,0.004401760704281712,0.7883153261304522,0.0014005602240896359,0.005202080832332934,0.19947979191676668
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.0010006003602161296,0.0022013207924754855,0.7846708024814889,0.0012007204322593559,0.01761056633980388,0.19331598959375623
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.001199760047990402,0.001999600079984003,0.7940411917616477,0.0013997200559888023,0.001999600079984003,0.1993601279744051
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.001200960768614892,0.002201761409127302,0.7936349079263411,0.0018014411529223382,0.001200960768614892,0.1999599679743795
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.0010002000400080016,0.008401680336067216,0.7875575115023004,0.0014002800560112022,0.002000400080016003,0.19963992798559713
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.015606242496998797,0.005602240896358544,0.771108443377351,0.00820328131252501,0.0010004001600640256,0.19847939175670268
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.001,0.0242,0.7636,0.001,0.002,0.2082
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.0010012014417300763,0.024829795754905893,0.7665198237885462,0.0010012014417300763,0.0010012014417300763,0.2056467761313576
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.0012000000000000001,0.0073999999999999995,0.7866,0.0014,0.002,0.20139999999999997
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.001200240048009602,0.0028005601120224045,0.7929585917183437,0.001200240048009602,0.002000400080016003,0.1998399679935987
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.001,0.0048000000000000004,0.7916,0.0012000000000000001,0.002,0.1994
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.001001001001001001,0.0022022022022022024,0.7943943943943944,0.001001001001001001,0.0024024024024024027,0.198998998998999
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.0012002400480096021,0.0038007601520304063,0.7903580716143228,0.001800360072014403,0.0022004400880176037,0.2006401280256051
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.001600640256102441,0.009603841536614647,0.7857142857142857,0.001600640256102441,0.002601040416166467,0.19887955182072828
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.00100080064051241,0.028422738190552445,0.7544035228182546,0.00100080064051241,0.0012009607686148923,0.21397117694155326
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.001601281024819856,0.002401921537229784,0.7934347477982385,0.00100080064051241,0.001200960768614892,0.20036028823058447
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.00100080064051241,0.016613290632506005,0.7748198558847078,0.00100080064051241,0.007405924739791834,0.19915932746196963
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.00100080064051241,0.007205764611689353,0.7730184147317855,0.00100080064051241,0.002201761409127302,0.2155724579663731
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.001,0.0036,0.7932,0.0018000000000000002,0.0022,0.1982
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.001199520191923231,0.0031987205117952823,0.8074770091963215,0.0017992802878848463,0.004198320671731308,0.18212714914034386
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.003999200159968007,0.002999400119976005,0.793241351729654,0.001199760047990402,0.001199760047990402,0.1973605278944211
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.0010006003602161296,0.002201320792475485,0.7964778867320392,0.0018010806483890335,0.0010006003602161296,0.197518511106664
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.0010006003602161296,0.003602161296778067,0.792675605363218,0.0014008405043025817,0.0010006003602161296,0.20032019211526916
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.0010006003602161299,0.002801681008605163,0.7936762057234341,0.001600960576345808,0.0014008405043025817,0.1995197118270963
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.0019988007195682594,0.21127323605836498,0.19628223066160305,0.0037977213671796925,0.0015990405756546075,0.5850489706176295
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.001401120896717374,0.20816653322658124,0.18955164131305047,0.001601281024819856,0.00100080064051241,0.5982786228983187
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.005601120224044809,0.23364672934586914,0.16463292658531709,0.01280256051210242,0.0034006801360272057,0.5799159831966393
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.013802760552110424,0.23704740948189634,0.15963192638527707,0.002000400080016003,0.0028005601120224045,0.5847169433886777
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.016193522590963613,0.19592163134746104,0.2149140343862455,0.0037984806077568977,0.0015993602558976412,0.5675729708116753
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.006405124099279424,0.20376301040832662,0.1969575660528423,0.0020016012810248206,0.0018014411529223382,0.5890712570056045
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.009398120375924815,0.22615476904619078,0.1767646470705859,0.003399320135972806,0.005598880223955208,0.5786842631473705
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.0064,0.1874,0.20099999999999998,0.043,0.004200000000000001,0.558
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.0012007204322593557,0.2517510506303782,0.1498899339603762,0.0020012007204322593,0.004802881729037423,0.5903542125275165
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.00100080064051241,0.25280224179343475,0.15052041633306645,0.00100080064051241,0.001601281024819856,0.5930744595676541
