sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.39747949589917986,0.003600720144028806,0.003200640128025605,0.1974394878975795,0.0054010802160432084,0.1964392878575715,0.1964392878575715
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.3956373824294577,0.010606363818290977,0.0020012007204322593,0.19711827096257756,0.0028016810086051633,0.1951170702421453,0.1967180308184911
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.398,0.0018000000000000002,0.0018000000000000002,0.1994,0.0018000000000000002,0.1986,0.1986
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.3976385831498899,0.0010006003602161296,0.0020012007204322593,0.199319591755053,0.0020012007204322593,0.1991194716830098,0.19891935161096658
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.3969206158768246,0.0017996400719856032,0.0065986802639472104,0.1977604479104179,0.003399320135972806,0.1967606478704259,0.1967606478704259
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.3894336601961177,0.0012007204322593559,0.003402041224734841,0.1953171903141885,0.0026015609365619375,0.2041224734840905,0.20392235341204723
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.391878375675135,0.0012002400480096021,0.007801560312062415,0.19703940788157634,0.008401680336067216,0.19703940788157634,0.19663932786557312
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.3926,0.001,0.005599999999999999,0.1988,0.004399999999999999,0.1988,0.1988
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.3956,0.0014,0.0038,0.1992,0.003,0.1986,0.1984
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.39843906343806285,0.0018010806483890337,0.0024014408645187117,0.19831899139483689,0.0026015609365619375,0.19811887132279368,0.19831899139483689
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.39707941588317663,0.001800360072014403,0.005401080216043209,0.19843968793758754,0.003000600120024005,0.19723944788957792,0.19703940788157634
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.3986797359471894,0.0022004400880176033,0.002000400080016003,0.19823964792958593,0.002600520104020805,0.19823964792958593,0.19803960792158434
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.3968,0.0018000000000000002,0.0022,0.1988,0.0024000000000000002,0.1994,0.1986
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.39387877575515107,0.0032006401280256056,0.009001800360072016,0.19623924784956992,0.006401280256051211,0.19683936787357473,0.19443888777755552
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.39227845569113823,0.0010002000400080016,0.006001200240048009,0.19423884776955389,0.01800360072014403,0.1944388877775555,0.1940388077615523
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.3979183346677342,0.00100080064051241,0.001401120896717374,0.1991593274619696,0.00200160128102482,0.19935948759007205,0.1991593274619696
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.3938,0.0054,0.0058000000000000005,0.1976,0.0026000000000000003,0.1972,0.1976
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.390634380628377,0.0018010806483890337,0.003402041224734841,0.19191514908945367,0.02521512907744647,0.19331598959375623,0.19371622973784272
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.3934786957391478,0.002000400080016003,0.003000600120024005,0.20004000800160035,0.004600920184036808,0.19903980796159235,0.19783956791358273
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.4106821364272854,0.003800760152030406,0.004600920184036807,0.1846369273854771,0.0026005201040208044,0.1970394078815763,0.19663932786557312
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.39907981596319264,0.0016003200640128026,0.002000400080016003,0.1952390478095619,0.006601320264052811,0.1960392078415683,0.19943988797759551
883779813_Pg346_22.fsa,Pg346,IN_01,IN,22,0.40232185748598875,0.00100080064051241,0.00200160128102482,0.19715772618094476,0.00300240192153723,0.19735788630904724,0.19715772618094476
883779813_Pg346_23.fsa,Pg346,IN_01,IN,23,0.39783870322193315,0.0010006003602161296,0.0022013207924754855,0.1989193516109666,0.002801681008605163,0.19871923153892337,0.19851911146688014
883779813_Pg346_24.fsa,Pg346,IN_01,IN,24,0.3979183346677342,0.001401120896717374,0.0026020816653322663,0.19855884707766214,0.0018014411529223382,0.1991593274619696,0.19855884707766214
883779813_Pg347_01.fsa,Pg347,KY_02,KY,25,0.3978,0.0014,0.007400000000000001,0.197,0.39159999999999995,0.0024000000000000002,0.0024000000000000002
883779813_Pg347_02.fsa,Pg347,KY_02,KY,26,0.3901120896717374,0.00100080064051241,0.005204163330664533,0.18274619695756608,0.4125300240192154,0.004403522818254603,0.0040032025620496394
883779813_Pg347_03.fsa,Pg347,KY_02,KY,27,0.38015206082432973,0.0024009603841536617,0.017006802721088437,0.18887555022008806,0.39435774309723887,0.014005602240896359,0.003201280512204882
883779813_Pg347_11.fsa,Pg347,KY_02,KY,28,0.344,0.008400000000000001,0.08099999999999999,0.15940000000000001,0.3888,0.0046,0.013800000000000002
883779813_Pg347_12.fsa,Pg347,KY_02,KY,29,0.4003601440576231,0.001600640256102441,0.0028011204481792717,0.19767907162865148,0.382953181272509,0.0048019207683073235,0.00980392156862745
883779813_Pg347_17.fsa,Pg347,KY_02,KY,30,0.3902780556111222,0.0020004000800160036,0.010002000400080016,0.1928385677135427,0.39627925585117024,0.0022004400880176033,0.00640128025605121
883779813_Pg347_18.fsa,Pg347,KY_02,KY,31,0.35632873425314937,0.006398720255948811,0.05798840231953611,0.16916616676664667,0.3955208958208357,0.004999000199960009,0.009598080383923215
883779813_Pg347_21.fsa,Pg347,KY_02,KY,32,0.39616230261842894,0.0029982010793523886,0.002398560863481911,0.2040775534679192,0.370777533479912,0.02118728762742355,0.002398560863481911
883779813_Pg347_22.fsa,Pg347,KY_02,KY,33,0.33659999999999995,0.0058,0.06340000000000001,0.1516,0.4394,0.0018000000000000002,0.0014
883779813_Pg347_23.fsa,Pg347,KY_02,KY,34,0.3560136081648989,0.0014008405043025814,0.05923554132479488,0.1520912547528517,0.4280568341004603,0.0016009605763458075,0.0016009605763458075
883779813_Pg348_01.fsa,Pg348,EX_01,EX-S,35,0.39283570142085256,0.0016009605763458077,0.006403842305383231,0.19731839103462076,0.3956373824294576,0.003602161296778067,0.0026015609365619375
883779813_Pg348_02.fsa,Pg348,EX_01,EX-S,36,0.792,0.0016,0.002,0.1996,0.002,0.0016,0.0012000000000000001
883779813_Pg348_03.fsa,Pg348,EX_01,EX-S,37,0.7910835665733706,0.0015993602558976412,0.001999200319872051,0.19952019192323073,0.0021991203518592567,0.0021991203518592567,0.0013994402239104358
883779813_Pg348_04.fsa,Pg348,EX_01,EX-S,38,0.3959583833533414,0.0020008003201280513,0.004601840736294518,0.19887955182072828,0.3937575030012005,0.0024009603841536617,0.0024009603841536617
883779813_Pg348_05.fsa,Pg348,EX_01,EX-S,39,0.37307461492298466,0.001800360072014403,0.018003600720144026,0.17423484696939387,0.41928385677135427,0.007201440288057612,0.00640128025605121
883779813_Pg348_06.fsa,Pg348,EX_01,EX-S,40,0.39807769323187825,0.0012014417300760913,0.002002402883460152,0.19923908690428516,0.39707649179014815,0.0012014417300760913,0.0012014417300760913
883779813_Pg348_07.fsa,Pg348,EX_01,EX-S,41,0.3977591036414566,0.0010004001600640256,0.0024009603841536617,0.1990796318527411,0.39715886354541813,0.0014005602240896359,0.0012004801920768309
883779813_Pg348_08.fsa,Pg348,EX_01,EX-S,42,0.3979591836734694,0.0010004001600640256,0.0022008803521408565,0.19967987194877954,0.3967587034813925,0.0012004801920768309,0.0012004801920768309
883779813_Pg348_09.fsa,Pg348,EX_01,EX-S,43,0.36287257451490296,0.001800360072014403,0.022004400880176037,0.1852370474094819,0.4212842568513702,0.004400880176035207,0.002400480096019204
883779813_Pg348_10.fsa,Pg348,EX_01,EX-S,44,0.39747949589917986,0.0010002000400080016,0.002000400080016003,0.1992398479695939,0.3978795759151831,0.001200240048009602,0.001200240048009602
883779813_Pg348_11.fsa,Pg348,EX_01,EX-S,45,0.3736241745047028,0.0010006003602161296,0.023814288573143882,0.17930758455073043,0.41644986992195315,0.0030018010806483887,0.0028016810086051633
883779813_Pg348_12.fsa,Pg348,EX_01,EX-S,46,0.39695878351340536,0.0010004001600640256,0.0028011204481792713,0.1992797118847539,0.3975590236094438,0.0012004801920768309,0.0012004801920768309
883779813_Pg348_13.fsa,Pg348,EX_01,EX-S,47,0.3966,0.001,0.0032,0.1986,0.3974,0.0018000000000000002,0.0014
883779813_Pg348_14.fsa,Pg348,EX_01,EX-S,48,0.38903342005203123,0.0010006003602161296,0.0062037222333400045,0.19611767060236143,0.40364218531118673,0.0024014408645187117,0.0016009605763458077
883779813_Pg348_15.fsa,Pg348,EX_01,EX-S,49,0.3970794158831766,0.001800360072014403,0.003600720144028806,0.19863972794558912,0.3950790158031606,0.0016003200640128026,0.0022004400880176037
883779813_Pg348_16.fsa,Pg348,EX_01,EX-S,50,0.5603120624124825,0.001800360072014403,0.003200640128025605,0.1988397679535907,0.232246449289858,0.002000400080016003,0.0016003200640128026
883779813_Pg348_17.fsa,Pg348,EX_01,EX-S,51,0.687,0.0012000000000000001,0.0033999999999999994,0.1986,0.1068,0.0016,0.0014
883779813_Pg348_18.fsa,Pg348,EX_01,EX-S,52,0.7903258045172897,0.0015990405756546075,0.0019988007195682594,0.20087947231661002,0.0021986807915250852,0.0017989206476114335,0.0011992804317409555
883779813_Pg348_19.fsa,Pg348,EX_01,EX-S,53,0.5631999999999999,0.0014,0.006,0.1992,0.227,0.002,0.0012000000000000001
883779813_Pg348_20.fsa,Pg348,EX_01,EX-S,54,0.7923584716943388,0.0010002000400080016,0.0022004400880176037,0.1998399679935987,0.002000400080016003,0.0014002800560112022,0.001200240048009602
