sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.0014002800560112022,0.0016003200640128026,0.004200840168033606,0.001200240048009602,0.0028005601120224045,0.004200840168033606,0.7861572314462892,0.1984396879375875
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.001200240048009602,0.0026005201040208044,0.01820364072814563,0.0014002800560112022,0.0022004400880176037,0.0034006801360272057,0.7691538307661532,0.2018403680736147
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.0012007204322593557,0.0016009605763458075,0.0016009605763458075,0.0010006003602161296,0.0016009605763458075,0.0022013207924754846,0.7904742845707424,0.20032019211526914
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.001800360072014403,0.0016003200640128028,0.0012002400480096021,0.0012002400480096021,0.0016003200640128028,0.0022004400880176037,0.7909581916383277,0.19943988797759554
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.001199760047990402,0.001999600079984003,0.0015996800639872027,0.001199760047990402,0.007398520295940813,0.00599880023995201,0.7824435112977405,0.1981603679264147
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.01040208041608322,0.0022004400880176037,0.0010002000400080016,0.009801960392078417,0.003600720144028806,0.004000800160032007,0.7773554710942188,0.19163832766553313
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.0020004000800160036,0.001800360072014403,0.0014002800560112022,0.0014002800560112022,0.005801160232046409,0.010602120424084817,0.785757151430286,0.1912382476495299
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.0030006001200240046,0.001200240048009602,0.0010002000400080016,0.0014002800560112022,0.005801160232046409,0.006001200240048009,0.78875775155031,0.1928385677135427
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.0015996800639872027,0.0017996400719856032,0.0015996800639872027,0.0013997200559888023,0.004199160167966407,0.004399120175964806,0.788242351529694,0.1967606478704259
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.0014,0.001,0.0016,0.0014,0.0024000000000000002,0.0028,0.79,0.1994
