sample_id,population,population_label,state,sample_order,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13
883779813_Pg346_01.fsa,Pg346,IN_01,IN,1,0.0020012007204322593,0.0020012007204322593,0.0010006003602161296,0.0030018010806483887,0.0020012007204322593,0.0030018010806483887,0.9753852311386833,0.0038022813688212923,0.0024014408645187113,0.0010006003602161296,0.0012007204322593557,0.0012007204322593557,0.0020012007204322593
883779813_Pg346_02.fsa,Pg346,IN_01,IN,2,0.0027988804478208716,0.004998000799680128,0.001999200319872051,0.0029988004798080768,0.0059976009596161535,0.0059976009596161535,0.9488204718112755,0.00899640143942423,0.010595761695321873,9.996001599360256e-4,0.001199520191923231,0.001999200319872051,0.002598960415833667
883779813_Pg346_03.fsa,Pg346,IN_01,IN,3,0.0012021638950110197,0.0010018032458425164,0.0010018032458425164,0.0018032458425165298,0.0010018032458425164,0.0010018032458425164,0.9855740332598678,0.0010018032458425164,0.0020036064916850328,0.0010018032458425164,0.0012021638950110197,0.0012021638950110197,0.0010018032458425164
883779813_Pg346_04.fsa,Pg346,IN_01,IN,4,0.0020012007204322593,0.0010006003602161296,0.0010006003602161296,0.0020012007204322593,0.0010006003602161296,0.0010006003602161296,0.9843906343806285,0.0012007204322593557,0.0020012007204322593,0.0010006003602161296,0.0012007204322593557,0.0012007204322593557,0.0010006003602161296
883779813_Pg346_05.fsa,Pg346,IN_01,IN,5,0.0014030867909400682,0.0010022048506714773,0.0010022048506714773,0.0020044097013429546,0.0020044097013429546,0.0010022048506714773,0.9811585488073762,0.0010022048506714773,0.0020044097013429546,0.0010022048506714773,0.0014030867909400682,0.0020044097013429546,0.003006614552014432
883779813_Pg346_06.fsa,Pg346,IN_01,IN,6,0.002,0.001,0.001,0.002,0.002,0.001,0.9667999999999999,0.002,0.001,0.012,0.006,0.0012000000000000001,0.002
883779813_Pg346_07.fsa,Pg346,IN_01,IN,7,0.002999400119976004,9.998000399920014e-4,9.998000399920014e-4,0.002999400119976004,0.0039992001599680055,9.998000399920014e-4,0.9746050789842031,0.002999400119976004,0.002999400119976004,9.998000399920014e-4,0.001399720055988802,0.0011997600479904018,0.002799440111977604
883779813_Pg346_08.fsa,Pg346,IN_01,IN,8,0.003,0.001,0.001,0.002,0.002,0.001,0.9812000000000001,0.002,0.001,0.001,0.0014,0.0014,0.002
883779813_Pg346_09.fsa,Pg346,IN_01,IN,9,0.0020020020020020024,0.0010010010010010012,0.0010010010010010012,0.0024024024024024027,0.0020020020020020024,0.0010010010010010012,0.9795795795795796,0.0020020020020020024,0.0020020020020020024,0.0010010010010010012,0.0012012012012012014,0.0020020020020020024,0.0028028028028028035
883779813_Pg346_10.fsa,Pg346,IN_01,IN,10,0.0014016820184221067,0.0010012014417300763,0.0010012014417300763,0.0020024028834601526,0.0010012014417300763,0.0010012014417300763,0.9833800560672807,0.0020024028834601526,0.0020024028834601526,0.0010012014417300763,0.0014016820184221067,0.0014016820184221067,0.0014016820184221067
883779813_Pg346_11.fsa,Pg346,IN_01,IN,11,0.004399120175964806,9.998000399920016e-4,0.002799440111977604,0.003999200159968006,0.002799440111977604,0.001999600079984003,0.9588082383523295,0.00599880023995201,0.0065986802639472104,9.998000399920016e-4,0.0025994801039792045,0.0025994801039792045,0.005398920215956809
883779813_Pg346_12.fsa,Pg346,IN_01,IN,12,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.002002002002002002,0.002002002002002002,0.002002002002002002,0.9819819819819819,0.002002002002002002,0.002002002002002002,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.002002002002002002
883779813_Pg346_13.fsa,Pg346,IN_01,IN,13,0.0018014411529223382,0.00100080064051241,0.00100080064051241,0.00200160128102482,0.00200160128102482,0.00100080064051241,0.983787029623699,0.001200960768614892,0.00100080064051241,0.00100080064051241,0.001200960768614892,0.00100080064051241,0.00200160128102482
883779813_Pg346_14.fsa,Pg346,IN_01,IN,14,0.005603362017210327,0.003001801080648389,0.0022013207924754855,0.0040024014408645186,0.015409245547328398,0.003001801080648389,0.929957974784871,0.008605163097858715,0.013007804682809687,0.0014008405043025817,0.0016009605763458077,0.0032019211526916154,0.009005403241945169
883779813_Pg346_15.fsa,Pg346,IN_01,IN,15,0.0022008803521408565,0.0010004001600640259,0.0010004001600640259,0.011204481792717087,0.0030012004801920774,0.0010004001600640259,0.9675870348139256,0.002400960384153662,0.0030012004801920774,0.0010004001600640259,0.001400560224089636,0.0016006402561024413,0.0036014405762304926
883779813_Pg346_16.fsa,Pg346,IN_01,IN,16,0.001803607214428858,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.0012024048096192386,0.001002004008016032,0.9869739478957916,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.001002004008016032,0.001002004008016032
883779813_Pg346_17.fsa,Pg346,IN_01,IN,17,0.0021991203518592563,0.0059976009596161535,9.996001599360256e-4,0.001999200319872051,0.001999200319872051,0.001999200319872051,0.9738104758096762,0.001199520191923231,0.001999200319872051,9.996001599360256e-4,0.0013994402239104358,0.0013994402239104358,0.003998400639744102
883779813_Pg346_18.fsa,Pg346,IN_01,IN,18,0.0012019230769230772,0.0010016025641025642,0.0010016025641025642,0.027443910256410263,0.0010016025641025642,0.0010016025641025642,0.9585336538461539,0.00280448717948718,0.0010016025641025642,0.0010016025641025642,0.0012019230769230772,0.0012019230769230772,0.001602564102564103
883779813_Pg346_19.fsa,Pg346,IN_01,IN,19,0.009205523313988391,0.002001200720432259,0.0022013207924754846,0.007204322593556133,0.006003602161296777,0.002001200720432259,0.9285571342805683,0.00780468280968581,0.024414648789273557,0.0010006003602161294,0.0018010806483890333,0.002201320792475485,0.005603362017210326
883779813_Pg346_20.fsa,Pg346,IN_01,IN,20,0.0012012012012012014,0.003003003003003003,0.001001001001001001,0.002002002002002002,0.002002002002002002,0.002002002002002002,0.9737737737737737,0.002002002002002002,0.006006006006006006,0.001001001001001001,0.0012012012012012014,0.0012012012012012014,0.0036036036036036037
883779813_Pg346_21.fsa,Pg346,IN_01,IN,21,0.0020020020020020024,0.0010010010010010012,0.0010010010010010012,0.006006006006006007,0.0010010010010010012,0.0010010010010010012,0.9755755755755756,0.0010010010010010012,0.002602602602602603,0.005405405405405406,0.0012012012012012014,0.0012012012012012014,0.0010010010010010012
