K,Reps,Mean_LnP_K,Stdev_LnP_K,Ln_prime,Abs_Ln_double_prime,Delta_K
1,5,-22631.04,0.5639,NA,NA,NA
2,5,-19373.54,0.313,3257.5,2114.8,6755.480798
3,5,-18230.84,250.8383,1142.7,372.6,1.485419
4,5,-17460.74,223.4002,770.1,22.72,0.101701
5,5,-16713.36,88.4339,747.38,27.94,0.315942
6,5,-15993.92,60.4207,719.44,445.5,7.373305
7,5,-15719.98,286.3492,273.94,245.36,0.856856
8,5,-15200.68,114.9982,519.3,298.6,2.596563
9,5,-14979.98,277.8089,220.7,351.16,1.264034
10,5,-14408.12,297.276,571.86,441.24,1.484277
11,5,-14277.5,181.2557,130.62,260.26,1.435872
12,5,-13886.62,317.0375,390.88,84.1,0.265268
13,5,-13579.84,243.8727,306.78,NA,NA
