file_name,run_number,K,est_lnP,mean_llh,var_llh
structure_600k1M_K01_run04_004_f,4,1,-22630.5,-22569.4,122.3
structure_600k1M_K01_run03_003_f,3,1,-22630.9,-22569.4,123
structure_600k1M_K01_run05_005_f,5,1,-22630.9,-22569.4,123
structure_600k1M_K01_run01_001_f,1,1,-22630.9,-22569.4,123.1
structure_600k1M_K01_run02_002_f,2,1,-22632,-22569.3,125.3
structure_600k1M_K02_run05_010_f,10,2,-19373.2,-19237,272.4
structure_600k1M_K02_run02_007_f,7,2,-19374,-19237,274.1
structure_600k1M_K02_run04_009_f,9,2,-19373.3,-19237,272.7
structure_600k1M_K02_run03_008_f,8,2,-19373.6,-19237,273.1
structure_600k1M_K02_run01_006_f,6,2,-19373.6,-19237,273.2
structure_600k1M_K13_run03_063_f,63,13,-13382.3,-12951.6,861.4
structure_600k1M_K13_run04_064_f,64,13,-13914.5,-13463.9,901.4
structure_600k1M_K13_run02_062_f,62,13,-13459.6,-13010.8,897.8
structure_600k1M_K13_run01_061_f,61,13,-13381.3,-12951.8,859.1
structure_600k1M_K13_run05_065_f,65,13,-13761.5,-13313.7,895.5
structure_600k1M_K11_run04_054_f,54,11,-14414.5,-14002.3,824.4
structure_600k1M_K11_run03_053_f,53,11,-13968.7,-13581,775.5
structure_600k1M_K11_run05_055_f,55,11,-14369.2,-13957.1,824.2
structure_600k1M_K11_run01_051_f,51,11,-14370.8,-13957.3,826.9
structure_600k1M_K11_run02_052_f,52,11,-14264.3,-13850.3,828
structure_600k1M_K09_run02_042_f,42,9,-15203.4,-14829.1,748.7
structure_600k1M_K09_run01_041_f,41,9,-15000.7,-14653.1,695.1
structure_600k1M_K09_run05_045_f,45,9,-14807.3,-14442.5,729.6
structure_600k1M_K09_run03_043_f,43,9,-14608.1,-14258.6,699
structure_600k1M_K09_run04_044_f,44,9,-15280.4,-14903.4,754
structure_600k1M_K08_run01_036_f,36,8,-15163,-14824.7,676.7
structure_600k1M_K08_run03_038_f,38,8,-15077.1,-14731.5,691.3
structure_600k1M_K08_run05_040_f,40,8,-15288.6,-14942.9,691.4
structure_600k1M_K08_run02_037_f,37,8,-15350.9,-14993.8,714.1
structure_600k1M_K08_run04_039_f,39,8,-15123.8,-14778,691.7
structure_600k1M_K12_run02_057_f,57,12,-13945.5,-13525.1,840.8
structure_600k1M_K12_run04_059_f,59,12,-13906.2,-13476.5,859.3
structure_600k1M_K12_run03_058_f,58,12,-14360.2,-13929.5,861.3
structure_600k1M_K12_run01_056_f,56,12,-13714.4,-13284.2,860.4
structure_600k1M_K12_run05_060_f,60,12,-13506.8,-13095.7,822.2
structure_600k1M_K07_run02_032_f,32,7,-15420.7,-15116.6,608.1
structure_600k1M_K07_run01_031_f,31,7,-15496.7,-15179.8,633.9
structure_600k1M_K07_run05_035_f,35,7,-15851,-15545.2,611.4
structure_600k1M_K07_run03_033_f,33,7,-16133.4,-15802.5,661.8
structure_600k1M_K07_run04_034_f,34,7,-15698.1,-15361.7,672.9
structure_600k1M_K03_run02_012_f,12,3,-17992.2,-17820.2,344
structure_600k1M_K03_run01_011_f,11,3,-17992.3,-17820.3,343.9
structure_600k1M_K03_run05_015_f,15,3,-18586.9,-18391.4,391
structure_600k1M_K03_run03_013_f,13,3,-18334.5,-18159.5,350
structure_600k1M_K03_run04_014_f,14,3,-18248.3,-18063.7,369.4
structure_600k1M_K06_run02_027_f,27,6,-15941.4,-15643.8,595.3
structure_600k1M_K06_run05_030_f,30,6,-15980,-15710.6,538.9
structure_600k1M_K06_run04_029_f,29,6,-16023.5,-15744.8,557.3
structure_600k1M_K06_run01_026_f,26,6,-15941.3,-15644.1,594.4
structure_600k1M_K06_run03_028_f,28,6,-16083.4,-15796.5,573.9
structure_600k1M_K04_run04_019_f,19,4,-17636.3,-17060.3,1152
structure_600k1M_K04_run02_017_f,17,4,-17561.9,-17329,465.8
structure_600k1M_K04_run05_020_f,20,4,-17198.7,-16976.4,444.6
structure_600k1M_K04_run03_018_f,18,4,-17241.5,-17031.6,419.8
structure_600k1M_K04_run01_016_f,16,4,-17665.3,-17444.1,442.5
structure_600k1M_K05_run04_024_f,24,5,-16721.9,-16452.8,538.2
structure_600k1M_K05_run03_023_f,23,5,-16689.7,-16431.3,516.7
structure_600k1M_K05_run05_025_f,25,5,-16763.7,-16484,559.5
structure_600k1M_K05_run01_021_f,21,5,-16578.5,-16323.7,509.5
structure_600k1M_K05_run02_022_f,22,5,-16813,-16530.5,565.1
structure_600k1M_K10_run01_046_f,46,10,-14491,-14111.9,758.1
structure_600k1M_K10_run03_048_f,48,10,-14251.4,-13871.4,760.1
structure_600k1M_K10_run04_049_f,49,10,-14295.7,-13919.7,752.1
structure_600k1M_K10_run02_047_f,47,10,-14883.4,-14486.8,793.2
structure_600k1M_K10_run05_050_f,50,10,-14119.1,-13725,788.3
